,default,control,experiment
metrics/precision(B),0.3608220747049763,0.74183068543265,0.8188332577277915
metrics/recall(B),0.2644138372837924,0.5785858282763319,0.5357418304408688
metrics/mAP50(B),0.2953092029202895,0.6282450088083736,0.6678282288744486
metrics/mAP50-95(B),0.14961648065339903,0.3555776163686223,0.4284000874020748
fitness,0.16418575288008808,0.38284435561259744,0.45234290154931217
